task_name,source,predicted_category,predicted_interfaces,required_information_type,likely_failure_under_fixed_action_space,manual_category,manual_interfaces,confidence,notes
mine_block:acacia_leaves,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action,visual_target_localization;low_level_reactive_control,language_only_target_ambiguous,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:beehive,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action,visual_target_localization;low_level_reactive_control,language_only_target_ambiguous,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:blue_orchid,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action,visual_target_localization;low_level_reactive_control,language_only_target_ambiguous,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:carved_pumpkin,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action,visual_target_localization;low_level_reactive_control,language_only_target_ambiguous,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:composter,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action,visual_target_localization;low_level_reactive_control,language_only_target_ambiguous,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:dark_oak_sign,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action,visual_target_localization;low_level_reactive_control,language_only_target_ambiguous,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:fire_coral_fan,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action,visual_target_localization;low_level_reactive_control,language_only_target_ambiguous,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:green_shulker_box,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action,visual_target_localization;low_level_reactive_control,language_only_target_ambiguous,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:jungle_leaves,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action,visual_target_localization;low_level_reactive_control,language_only_target_ambiguous,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:lily_of_the_valley,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action,visual_target_localization;low_level_reactive_control,language_only_target_ambiguous,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
