task_name,source,category,preferred_interfaces,required_information_type,likely_failure_under_fixed_action_space,notes
build a small shelter,manual_representative_sample,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft item carrot_on_a_stick,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft item crafting_table,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,inventory_or_tool_state;visual_target_localization,mid_level_skill_missing_parameter,Interaction tasks depend on selecting the correct object and passing the right action parameters.
craft item shield,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft item torch,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft stone sword,manual_representative_sample,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:acacia_boat,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:acacia_button,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,inventory_or_tool_state;visual_target_localization,mid_level_skill_missing_parameter,Interaction tasks depend on selecting the correct object and passing the right action parameters.
craft_item:acacia_door,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:acacia_fence,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:acacia_fence_gate,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:acacia_planks,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:acacia_pressure_plate,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:acacia_sign,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:acacia_slab,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:acacia_stairs,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:acacia_trapdoor,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:acacia_wood,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
